pe_name,ou,ou_name,HTS3e,HTS3e(Pos),VT1,VT1(Pos),YP2,YP2(Pos),KP_CTRR,KP_CTRR(Pos)
2025-10-01,BkHB5iIj0jE,an Eziaguluotu Primary Health Centre,115,2,0,0,0,0,0,0
2025-10-01,Cj3rwgMDm7q,an Umuawah Health Post,39,0,5,0,10,0,0,0
2025-10-01,ElMyEZ6ECq9,an Madonna Hospital Awka,0,0,2,0,0,0,0,0
2025-10-01,FfgZ5ufqf7n,an Ebenesi Nnobi Primary Health Centre,0,0,5,0,0,0,0,0
2025-10-01,Ha1Uxfwnmwq,an Rock Foundation Hospital,0,0,1,0,0,0,0,0
2025-10-01,HgxxN5GZv8Y,"an Rex Inversorium Hospital, Mmiata (Referral Health center Oroma-Etiti)",0,0,0,0,48,0,0,0
2025-10-01,HqwDi1gXzB7,an Awba Offemmili Primary Health Centre,2,0,0,0,0,0,0,0
2025-10-01,IA64rosyhK1,an Enugu Ukwu General Hospital,2,0,0,0,0,0,0,0
2025-10-01,IEKVnEePZLN,an Iyi-Enu Hospital,1,0,2,0,0,0,0,0
2025-10-01,IX2qlVptNql,an Onitsha Pieta Hospital,0,0,1,0,11,0,0,0
2025-10-01,JnK78IWxALr,"an Nworah Hilltop Hospital & Maternity, Ugwu Tank, Amawbia",0,0,1,0,0,0,0,0
2025-10-01,MUq9oPoC0hr,an Ukpo Comprehensive Health Centre,19,0,0,0,0,0,0,0
2025-10-01,MsWUEiTxyht,an Ogbunike Primary Health Centre,8,0,1,0,0,0,0,0
2025-10-01,OKPZ7SmaYwP,an Immaculate Heart Hospital (Nkpor),10,0,2,0,0,0,0,0
2025-10-01,P9qUQA6KmAs,an Holy Rosary Hospital,7,2,0,0,0,0,0,0
2025-10-01,RYgaEEnYq9o,an Ozubulu Referral Health Centre,0,0,1,0,0,0,0,0
2025-10-01,Sya1xqHhCCO,an Our Lady of Lourdes Hospital,0,0,0,0,10,0,0,0
2025-10-01,VW6oZN1jKMg,an Lancet Hospital LTD,2,0,0,0,10,0,0,0
2025-10-01,VbYKP326qwm,"an Umubani, Neni Primary Health Center",1,0,0,0,0,0,0,0
