ou,value,dx_name,pe_name,ou_name
XG0hzB6FVrw,5,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-10,an Eldorado Multispecialist Hospital
MUumX5cjk9g,5,GF_Number of AGYW counseled tested and received result- Community,2025-10-02,an Umunze Immaculate Heart Hospital
TNwOSX6UfCW,12,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-10,an Umudeze Primary Health Centre
ZSSbDRTZ6CX,1,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-10,an St. Patricks Hospital and Maternity
qs0jtVhDtUn,1,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-03,an Our Lady's of Fatima Woliwo Health Post
TaFHmyxBqR7,14,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-03,an Awka-Etiti II Primary Health Centre
rXXrT05BUkb,1,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-10,an Igbuala H/Post Ifitedunu 2
yjxtvOYtp5A,48,GF_Number of AGYW counseled tested and received result- Community,2025-10-10,an Ukpor General Hospital
PBEQJpsapZw,7,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-09,an Otolo Umuenem Primary Health Centre
IEKVnEePZLN,1,GF_Number of Clients tested HIV Positive (From Rat) - OPD,2025-10-07,an Iyi-Enu Hospital
PBEQJpsapZw,6,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-07,an Otolo Umuenem Primary Health Centre
PBEQJpsapZw,5,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-08,an Otolo Umuenem Primary Health Centre
PBEQJpsapZw,4,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-02,an Otolo Umuenem Primary Health Centre
MUumX5cjk9g,40,GF_Number of AGYW counseled tested and received result- Community,2025-10-09,an Umunze Immaculate Heart Hospital
PBEQJpsapZw,2,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-01,an Otolo Umuenem Primary Health Centre
PBEQJpsapZw,3,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-03,an Otolo Umuenem Primary Health Centre
MUumX5cjk9g,15,GF_Number of AGYW counseled tested and received result- Community,2025-10-08,an Umunze Immaculate Heart Hospital
xallQX8HUeS,1,GF_Number of Individuals Who Received HIV Testing Services (HTS) And Received Their Test Results - Blood Bank,2025-10-03,an Maranatha Caring Mission Hospital
xdRG6eDxhaR,4,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-09,an Chidubem Hospital and Maternity Okpuno Awka
qs0jtVhDtUn,2,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-10,an Our Lady's of Fatima Woliwo Health Post
fzYRxCwtQf2,2,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-03,an Akamili Primary Health Clinic
yjxtvOYtp5A,28,GF_Number of AGYW counseled tested and received result- Community,2025-10-08,an Ukpor General Hospital
XG0hzB6FVrw,1,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-01,an Eldorado Multispecialist Hospital
ENi2yTYsiwn,11,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-10,an Holy Spirit Primary Health Centre
oZWwkGsF8WV,1,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-03,an Ifitedunu General Hospital
yjxtvOYtp5A,25,GF_Number of AGYW counseled tested and received result- Community,2025-10-09,an Ukpor General Hospital
XG0hzB6FVrw,2,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-03,an Eldorado Multispecialist Hospital
w0fWsRSt3DY,6,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-03,an Trinity Favour Room and Maternity
w0fWsRSt3DY,6,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-02,an Trinity Favour Room and Maternity
PBEQJpsapZw,1,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-10,an Otolo Umuenem Primary Health Centre
Jzpyxz1Cydy,5,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-09,an Obinwane Hospital and Maternity
akw2O5cpDNP,1,GF_Number of Clients tested HIV Positive (From Rat) - OPD,2025-10-03,an Okpuno Primary Health Centre
XG0hzB6FVrw,1,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-02,an Eldorado Multispecialist Hospital
SvyAYrQ8Muc,3,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-10,an Umudiala Primary Health Centre
RYgaEEnYq9o,1,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-01,an Ozubulu Referral Health Centre
NeOAkzqDQr1,3,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-03,an Ozzuh Primary Health Centre
RYgaEEnYq9o,1,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-02,an Ozubulu Referral Health Centre
w0fWsRSt3DY,5,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-09,an Trinity Favour Room and Maternity
XG0hzB6FVrw,2,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-07,an Eldorado Multispecialist Hospital
IA64rosyhK1,19,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-10,an Enugu Ukwu General Hospital
msvy1BMNG4T,1,GF_Number of Clients tested HIV Positive (From Rat) - OPD,2025-10-03,an Ula Ekwulobia Primary Health Centre
w0fWsRSt3DY,7,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-06,an Trinity Favour Room and Maternity
w0fWsRSt3DY,5,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-08,an Trinity Favour Room and Maternity
H2vA8qHohf5,1,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-10,an Ogbunka Primary Health Centre
P9qUQA6KmAs,2,GF_Number of Clients tested HIV Positive (From Rat) - OPD,2025-10-01,an Holy Rosary Hospital
XG0hzB6FVrw,4,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-09,an Eldorado Multispecialist Hospital
XG0hzB6FVrw,4,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-08,an Eldorado Multispecialist Hospital
w0fWsRSt3DY,7,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-07,an Trinity Favour Room and Maternity
hLbLWbrsyjK,6,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-10,an Uboma Primary Health Centre
HgxxN5GZv8Y,118,GF_Number of Individuals Who Received HIV Testing Services (HTS) And Received Their Test Results - Blood Bank,2025-10-10,"an Rex Inversorium Hospital, Mmiata (Referral Health center Oroma-Etiti)"
q9iZUe3cVCu,2,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-09,an Orafite General Hospital
XG0hzB6FVrw,3,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-06,an Eldorado Multispecialist Hospital
q9iZUe3cVCu,3,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-08,an Orafite General Hospital
HgxxN5GZv8Y,10,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-09,"an Rex Inversorium Hospital, Mmiata (Referral Health center Oroma-Etiti)"
mQpnj5bT6HS,4,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-10,an Christ Church Primary Health Center
OKPZ7SmaYwP,2,GF_Number of Individuals Who Received HIV Testing Services (HTS) And Received Their Test Results - Blood Bank,2025-10-03,an Immaculate Heart Hospital (Nkpor)
eJfBtjef8cQ,2,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-01,an Basic Health Centre Onitsha
msr1TOXqZKf,8,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-08,an St Charles Borromeo Hospital
kIt9h1ZjQfF,1,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-07,an Amansea Primary Health Centre
w0fWsRSt3DY,5,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-10,an Trinity Favour Room and Maternity
Cj3rwgMDm7q,10,GF_Number of AGYW counseled tested and received result- Walk-In,2025-10-06,an Umuawah Health Post
JOocbzN2dq7,2,GF_Number of Clients tested HIV Positive (From Rat) - OPD,2025-10-06,an Umuokpu Primary Health Centre
wM3b4l8Oesq,1,GF_Number of People Tested HIV Positive & Received Results - CT,2025-10-07,an Onitsha General Hospital
uYnfVI0bkyf,7,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-09,an Nkpor Crown Hospital and Maternity
msr1TOXqZKf,3,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-06,an St Charles Borromeo Hospital
P9qUQA6KmAs,2,GF_Number of Clients tested HIV Positive (From Rat) - OPD,2025-10-02,an Holy Rosary Hospital
xknfQ0UuSCR,1,GF_Number of Clients tested HIV Positive (From Rat) - OPD,2025-10-08,an Umuchu Visitation Hospital
msr1TOXqZKf,2,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-02,an St Charles Borromeo Hospital
Sya1xqHhCCO,2,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-07,an Our Lady of Lourdes Hospital
ulyCfZ5PUNZ,1,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-10,an Achalla Primary Health Centre
ySBhaLN97hO,2,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-03,an St. Raphael Hospital Nkwelle Ezunaka
oZWwkGsF8WV,1,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-10,an Ifitedunu General Hospital
OKPZ7SmaYwP,4,GF_Number of Individuals Who Received HIV Testing Services (HTS) And Received Their Test Results - Blood Bank,2025-10-01,an Immaculate Heart Hospital (Nkpor)
kdE66nb6IOn,8,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-09,an Mary Elm Missions Hospital
P9qUQA6KmAs,42,GF_Number of AGYW counseled tested and received result- Community,2025-10-10,an Holy Rosary Hospital
HqwDi1gXzB7,1,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-10,an Awba Offemmili Primary Health Centre
DasDyIPK8jQ,100,GF_Number of AGYW counseled tested and received result- Community,2025-10-10,an Umuezeanam 2 Primary Health Centre
OKPZ7SmaYwP,8,GF_Number of Individuals Who Received HIV Testing Services (HTS) And Received Their Test Results - Blood Bank,2025-10-09,an Immaculate Heart Hospital (Nkpor)
uYnfVI0bkyf,5,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-03,an Nkpor Crown Hospital and Maternity
uYnfVI0bkyf,11,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-07,an Nkpor Crown Hospital and Maternity
kIt9h1ZjQfF,1,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-10,an Amansea Primary Health Centre
kdE66nb6IOn,13,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-03,an Mary Elm Missions Hospital
mQpnj5bT6HS,3,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-03,an Christ Church Primary Health Center
OKPZ7SmaYwP,2,GF_Number of Individuals Who Received HIV Testing Services (HTS) And Received Their Test Results - Blood Bank,2025-10-07,an Immaculate Heart Hospital (Nkpor)
DVOVgZ4doAK,13,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-01,an Ojotu Uno Primary Health Centre
PvDpVr5oSIP,3,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-03,an Igbedor Primary Health Centre
MUumX5cjk9g,1,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - TB,2025-10-02,an Umunze Immaculate Heart Hospital
p7CKerD8kRp,1,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-08,an Oba Comprehensive Health Centre (Trauma Centre)
xknfQ0UuSCR,9,GF_Number of Individuals Who Received HIV Testing Services (HTS) and Received Their Test Results - Other PITC,2025-10-08,an Umuchu Visitation Hospital
y4dTAIa0QOQ,11,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-10,an Umudara Primary Health Centre
AWDjfiWSCBU,3,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-10,an Orifite Referral Health Centre
ZSSbDRTZ6CX,4,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-02,an St. Patricks Hospital and Maternity
IEKVnEePZLN,2,GF_Number of Individuals Who Received HIV Testing Services (HTS) and Received Their Test Results - Other PITC,2025-10-02,an Iyi-Enu Hospital
p7CKerD8kRp,1,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-02,an Oba Comprehensive Health Centre (Trauma Centre)
QS61X8Xc1Tg,2,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-03,an His Grace Maternity
OKPZ7SmaYwP,2,GF_Number of Individuals Who Received HIV Testing Services (HTS) And Received Their Test Results - Blood Bank,2025-10-10,an Immaculate Heart Hospital (Nkpor)
wM3b4l8Oesq,2,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-08,an Onitsha General Hospital
FfgZ5ufqf7n,7,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-08,an Ebenesi Nnobi Primary Health Centre
hkgcJhWm5cK,1,GF_Number of People Tested HIV Positive & Received Results - CT,2025-10-09,an Accucare Foundation Hospital
OxGTCa7PYrK,2,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-08,an Ekwulobia General Hospital
xallQX8HUeS,2,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-10,an Maranatha Caring Mission Hospital
MUumX5cjk9g,60,GF_Number of AGYW counseled tested and received result- Community,2025-10-10,an Umunze Immaculate Heart Hospital
FfgZ5ufqf7n,4,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-02,an Ebenesi Nnobi Primary Health Centre
FfgZ5ufqf7n,5,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-06,an Ebenesi Nnobi Primary Health Centre
ZSSbDRTZ6CX,1,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-06,an St. Patricks Hospital and Maternity
ZSSbDRTZ6CX,2,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-08,an St. Patricks Hospital and Maternity
P9qUQA6KmAs,7,GF_Number of Individuals Who Received HIV Testing Services (HTS) And Received Their Test Results - In-Patient,2025-10-06,an Holy Rosary Hospital
ySBhaLN97hO,10,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-09,an St. Raphael Hospital Nkwelle Ezunaka
HgxxN5GZv8Y,30,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-10,"an Rex Inversorium Hospital, Mmiata (Referral Health center Oroma-Etiti)"
NeOAkzqDQr1,2,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-10,an Ozzuh Primary Health Centre
wM3b4l8Oesq,7,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-02,an Onitsha General Hospital
P9qUQA6KmAs,6,GF_Number of Individuals Who Received HIV Testing Services (HTS) And Received Their Test Results - In-Patient,2025-10-08,an Holy Rosary Hospital
H2vA8qHohf5,1,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-03,an Ogbunka Primary Health Centre
zhMuFPbxUZS,1,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-10,an Dike Medical Centre
MUq9oPoC0hr,15,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-01,an Ukpo Comprehensive Health Centre
iP3AXOcPWYS,4,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-02,an Oraukwu Primary Health Centre
MUq9oPoC0hr,2,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-10,an Ukpo Comprehensive Health Centre
ulyCfZ5PUNZ,1,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-03,an Achalla Primary Health Centre
IX2qlVptNql,1,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-08,an Onitsha Pieta Hospital
zhMuFPbxUZS,2,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-08,an Dike Medical Centre
HqwDi1gXzB7,2,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-10,an Awba Offemmili Primary Health Centre
MUq9oPoC0hr,45,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-08,an Ukpo Comprehensive Health Centre
xallQX8HUeS,3,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-03,an Maranatha Caring Mission Hospital
zhMuFPbxUZS,1,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-01,an Dike Medical Centre
zhMuFPbxUZS,1,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-09,an Dike Medical Centre
P9qUQA6KmAs,3,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-10,an Holy Rosary Hospital
PCPwwTlDOet,2,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-10,an Ukpambaka Primary Health Centre
ElMyEZ6ECq9,4,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-06,an Madonna Hospital Awka
dIgVADaXOoP,100,GF_Number of AGYW counseled tested and received result- Community,2025-10-09,an Nnewi Diocesan Hospital
ulyCfZ5PUNZ,1,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-07,an Achalla Primary Health Centre
y4dTAIa0QOQ,3,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-10,an Umudara Primary Health Centre
dBES5aQviuh,3,GF_Number of KPs tested HIV positive and received result,2025-10-01,"an Anambra State One Stop Shop (OSS) Site, Awka"
P9qUQA6KmAs,4,GF_Number of Individuals Who Received HIV Testing Services (HTS) And Received Their Test Results - In-Patient,2025-10-03,an Holy Rosary Hospital
ulyCfZ5PUNZ,1,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-06,an Achalla Primary Health Centre
MsWUEiTxyht,8,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-01,an Ogbunike Primary Health Centre
P9qUQA6KmAs,5,GF_Number of Individuals Who Received HIV Testing Services (HTS) And Received Their Test Results - In-Patient,2025-10-10,an Holy Rosary Hospital
