Date,Cluster,LGA,Facility,HTS3e,HTS3e(Pos),VT1,VT1(Pos),YP2,YP2(Pos),KP_CTRR,KP_CTRR(Pos),TOTAL TESTING REPORTED ON NEW DPT,TOTAL KITS USAGE REPORTED IN SOH TRACKER,Difference (Used - DHIS2)
2025-10-10,Omambala,Ayamelum,An Omasiagu Primary Health Centre,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2025-10-03,Omambala,Anambra West,An Umuikwu Primary Health Centre,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0
2025-10-04,Onitsha,Idemili North,An Nsukwu Primary Health Centre,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-3.0
2025-10-03,Onitsha,Onitsha South,An St. John Ang Primary Health Centre,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,-8.0
2025-10-10,Nnewi,Ekwusigo,An Orifite Referral Health Centre,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0
2025-10-03,Nnewi,Ihiala,An Lilu Primary Health Centre,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0
2025-10-10,Nnewi,Ihiala,An Lilu Primary Health Centre,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0
2025-10-01,Omambala,Anambra East,An Eziaguluotu Primary Health Centre,115.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,-117.0
2025-10-02,Omambala,Anambra East,An Eziaguluotu Primary Health Centre,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,-70.0
2025-10-08,Omambala,Anambra East,An Eziaguluotu Primary Health Centre,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,-50.0
2025-10-09,Omambala,Anambra East,An Eziaguluotu Primary Health Centre,80.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,-81.0
2025-10-10,Omambala,Anambra East,An Eziaguluotu Primary Health Centre,80.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,-82.0
2025-10-10,Aguata,Orumba South,An Owere Ezukala Primary Health Centre,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,-8.0
2025-10-03,Nnewi,Ihiala,An Ogboro Primary Health Centre,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0
2025-10-01,Omambala,Ayamelum,An Umuawah Health Post,39.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,54.0,0.0,-54.0
2025-10-03,Omambala,Ayamelum,An Umuawah Health Post,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,-10.0
2025-10-06,Omambala,Ayamelum,An Umuawah Health Post,27.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,42.0,0.0,-42.0
2025-10-07,Omambala,Ayamelum,An Umuawah Health Post,50.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,60.0,0.0,-60.0
2025-10-08,Omambala,Ayamelum,An Umuawah Health Post,100.0,1.0,4.0,0.0,60.0,0.0,0.0,0.0,165.0,0.0,-165.0
2025-10-09,Omambala,Ayamelum,An Umuawah Health Post,100.0,1.0,0.0,0.0,50.0,0.0,0.0,0.0,151.0,0.0,-151.0
2025-10-10,Omambala,Ayamelum,An Umuawah Health Post,0.0,100.0,0.0,0.0,40.0,0.0,0.0,0.0,140.0,0.0,-140.0
2025-10-10,Awka,Awka North,An Umuogbuefi  Primaryhealth Center,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2025-10-03,Omambala,Anambra West,An Umuezeanam 2 Primary Health Centre,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2025-10-10,Omambala,Anambra West,An Umuezeanam 2 Primary Health Centre,0.0,0.0,2.0,0.0,100.0,0.0,0.0,0.0,102.0,0.0,-102.0
2025-10-10,Onitsha,Ogbaru,An Akili Ozizor Primary Health Centre,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2025-10-03,Onitsha,Ogbaru,An Atani Primary Health Centre,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,-5.0
2025-10-03,Onitsha,Onitsha North,An Holy Spirit Primary Health Centre,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2025-10-10,Onitsha,Onitsha North,An Holy Spirit Primary Health Centre,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2025-10-01,Awka,Awka South,An Madonna Hospital And Maternity Awka,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0
2025-10-07,Awka,Awka South,An Madonna Hospital And Maternity Awka,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0
2025-10-03,Omambala,Anambra West,An Obodootu Primary Health Centre,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0
2025-10-10,Omambala,Anambra West,An Obodootu Primary Health Centre,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0
2025-10-01,Onitsha,Idemili South,An Ebenesi Nnobi Primary Health Centre,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,-5.0
2025-10-02,Onitsha,Idemili South,An Ebenesi Nnobi Primary Health Centre,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,-4.0
2025-10-03,Onitsha,Idemili South,An Ebenesi Nnobi Primary Health Centre,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-3.0
2025-10-06,Onitsha,Idemili South,An Ebenesi Nnobi Primary Health Centre,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,-5.0
2025-10-07,Onitsha,Idemili South,An Ebenesi Nnobi Primary Health Centre,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-3.0
2025-10-08,Onitsha,Idemili South,An Ebenesi Nnobi Primary Health Centre,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,-7.0
2025-10-09,Onitsha,Idemili South,An Ebenesi Nnobi Primary Health Centre,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-3.0
2025-10-03,Nnewi,Nnewi North,An Akaboezem Phc,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0
2025-10-10,Nnewi,Nnewi North,An Akaboezem Phc,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2025-10-03,Aguata,Orumba South,An Ogbunka Primary Health Centre,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2025-10-10,Aguata,Orumba South,An Ogbunka Primary Health Centre,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2025-10-03,Nnewi,Ekwusigo,An Ihembosi Referral Health Centre,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0
2025-10-01,Awka,Awka South,An Rock Foundation Hospital,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2025-10-03,Awka,Awka South,An Rock Foundation Hospital,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-3.0
2025-10-07,Awka,Awka South,An Rock Foundation Hospital,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2025-10-09,Awka,Awka South,An Rock Foundation Hospital,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2025-10-01,Omambala,Anambra West,"An Rex Inversorium Hospital, Mmiata (Referral Health Center Oroma-Etiti)",0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,48.0,0.0,-48.0
2025-10-07,Omambala,Anambra West,"An Rex Inversorium Hospital, Mmiata (Referral Health Center Oroma-Etiti)",0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0,0.0,-28.0
2025-10-08,Omambala,Anambra West,"An Rex Inversorium Hospital, Mmiata (Referral Health Center Oroma-Etiti)",68.0,1.0,0.0,0.0,45.0,0.0,0.0,0.0,114.0,0.0,-114.0
2025-10-09,Omambala,Anambra West,"An Rex Inversorium Hospital, Mmiata (Referral Health Center Oroma-Etiti)",0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,37.0,0.0,-37.0
2025-10-10,Omambala,Anambra West,"An Rex Inversorium Hospital, Mmiata (Referral Health Center Oroma-Etiti)",118.0,1.0,0.0,0.0,50.0,0.0,0.0,0.0,169.0,0.0,-169.0
2025-10-11,Omambala,Anambra West,"An Rex Inversorium Hospital, Mmiata (Referral Health Center Oroma-Etiti)",0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,35.0,0.0,-35.0
2025-10-01,Awka,Awka North,An Awba Offemmili Primary Health Centre,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0
2025-10-02,Awka,Awka North,An Awba Offemmili Primary Health Centre,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2025-10-03,Awka,Awka North,An Awba Offemmili Primary Health Centre,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2025-10-06,Awka,Awka North,An Awba Offemmili Primary Health Centre,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2025-10-07,Awka,Awka North,An Awba Offemmili Primary Health Centre,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0
2025-10-08,Awka,Awka North,An Awba Offemmili Primary Health Centre,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-3.0
2025-10-10,Awka,Awka North,An Awba Offemmili Primary Health Centre,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2025-10-03,Omambala,Ayamelum,An Ifite Primary Health Centre,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2025-10-10,Omambala,Ayamelum,An Ifite Primary Health Centre,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2025-10-01,Awka,Njikoka,An Enugu Ukwu General Hospital,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0
2025-10-02,Awka,Njikoka,An Enugu Ukwu General Hospital,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-3.0
2025-10-03,Awka,Njikoka,An Enugu Ukwu General Hospital,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0
2025-10-06,Awka,Njikoka,An Enugu Ukwu General Hospital,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2025-10-07,Awka,Njikoka,An Enugu Ukwu General Hospital,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,-15.0
2025-10-08,Awka,Njikoka,An Enugu Ukwu General Hospital,4.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,-15.0
2025-10-09,Awka,Njikoka,An Enugu Ukwu General Hospital,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0
2025-10-01,Onitsha,Idemili North,An Iyi-Enu Hospital,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0
2025-10-02,Onitsha,Idemili North,An Iyi-Enu Hospital,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,-8.0
2025-10-07,Onitsha,Idemili North,An Iyi-Enu Hospital,0.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,-16.0
2025-10-09,Onitsha,Idemili North,An Iyi-Enu Hospital,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,-8.0
2025-10-10,Onitsha,Idemili North,An Iyi-Enu Hospital,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0
2025-10-01,Onitsha,Onitsha South,An Onitsha Pieta Hospital,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,12.0,0.0,-12.0
2025-10-02,Onitsha,Onitsha South,An Onitsha Pieta Hospital,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,13.0,0.0,-13.0
2025-10-06,Onitsha,Onitsha South,An Onitsha Pieta Hospital,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0
2025-10-07,Onitsha,Onitsha South,An Onitsha Pieta Hospital,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,13.0,0.0,-13.0
2025-10-08,Onitsha,Onitsha South,An Onitsha Pieta Hospital,0.0,0.0,14.0,0.0,73.0,0.0,0.0,0.0,87.0,0.0,-87.0
2025-10-09,Onitsha,Onitsha South,An Onitsha Pieta Hospital,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0
2025-10-10,Onitsha,Onitsha South,An Onitsha Pieta Hospital,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,-4.0
2025-10-10,Aguata,Orumba South,An Ogboji Primary Health Centre,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2025-10-03,Nnewi,Nnewi North,An Edoji Primary Health Centre,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2025-10-10,Nnewi,Nnewi North,An Edoji Primary Health Centre,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,-5.0
2025-10-10,Awka,Awka North,An Mgbakwu Health Post,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2025-10-06,Awka,Awka South,An Umuokpu Primary Health Center,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,-5.0
2025-10-10,Onitsha,Ogbaru,An Okpoko Primary Health Centre Iii,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0
2025-10-01,Awka,Awka South,An Nworah Hilltop Hospital And Maternity,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2025-10-03,Awka,Awka South,An Nworah Hilltop Hospital And Maternity,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2025-10-06,Awka,Awka South,An Nworah Hilltop Hospital And Maternity,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0
2025-10-07,Awka,Awka South,An Nworah Hilltop Hospital And Maternity,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2025-10-09,Awka,Awka South,An Nworah Hilltop Hospital And Maternity,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,-6.0
2025-10-10,Awka,Awka South,An Nworah Hilltop Hospital And Maternity,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0
2025-10-03,Omambala,Anambra West,An Umudora Primary Health Centre,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0
2025-10-10,Omambala,Anambra West,An Umudora Primary Health Centre,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2025-10-03,Onitsha,Idemili North,An Obinwane Hospital And Maternity,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,-10.0
2025-10-06,Onitsha,Idemili North,An Obinwane Hospital And Maternity,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0
2025-10-09,Onitsha,Idemili North,An Obinwane Hospital And Maternity,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,-5.0
2025-10-10,Onitsha,Ogbaru,An Okpoko 5 Primary Health Centre,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0
2025-10-03,Onitsha,Onitsha North,An Gra Phc,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,-5.0
2025-10-10,Onitsha,Onitsha North,An Gra Phc,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2025-10-07,Aguata,Anaocha,An Neni Comprehensive Health Centre Nauth,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2025-10-08,Aguata,Anaocha,An Neni Comprehensive Health Centre Nauth,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0
2025-10-09,Aguata,Anaocha,An Neni Comprehensive Health Centre Nauth,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,-15.0
2025-10-01,Awka,Dunukofia,An Ukpo Comprehensive Health Centre,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,-19.0
2025-10-02,Awka,Dunukofia,An Ukpo Comprehensive Health Centre,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,-15.0
2025-10-03,Awka,Dunukofia,An Ukpo Comprehensive Health Centre,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,-5.0
