facility_id,facility_name,orgunitid,lga_id,lga_name,cluster_id,cluster_name,product_id,product_name,date,total_used,HTS3e,HTS3e(Pos),VT1,VT1(Pos),YP2,YP2(Pos),KP_CTRR,KP_CTRR(Pos),total_dhis2,tested_comparison
133.0,An Omasiagu Primary Health Centre,A1hzBiUAojv,8.0,Ayamelum,2.0,Omambala,,,2025-10-10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
59.0,An Umuikwu Primary Health Centre,A6L3DXI7vu8,4.0,Anambra West,2.0,Omambala,,,2025-10-03,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0
186.0,An Nsukwu Primary Health Centre,ABifpivVY4F,11.0,Idemili North,6.0,Onitsha,,,2025-10-04,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-3.0
321.0,An St. John Ang Primary Health Centre,AKfQkUjVHEK,19.0,Onitsha South,6.0,Onitsha,,,2025-10-03,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,-8.0
171.0,An Orifite Referral Health Centre,AWDjfiWSCBU,10.0,Ekwusigo,5.0,Nnewi,,,2025-10-10,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0
212.0,An Lilu Primary Health Centre,B5PbcJXLP9z,13.0,Ihiala,5.0,Nnewi,,,2025-10-03,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0
212.0,An Lilu Primary Health Centre,B5PbcJXLP9z,13.0,Ihiala,5.0,Nnewi,,,2025-10-10,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0
22.0,An Eziaguluotu Primary Health Centre,BkHB5iIj0jE,2.0,Anambra East,2.0,Omambala,,,2025-10-01,0.0,115.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,-117.0
22.0,An Eziaguluotu Primary Health Centre,BkHB5iIj0jE,2.0,Anambra East,2.0,Omambala,,,2025-10-02,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-70.0
22.0,An Eziaguluotu Primary Health Centre,BkHB5iIj0jE,2.0,Anambra East,2.0,Omambala,,,2025-10-08,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,-50.0
